id,battle_name,year,country,front,dead_count,battle_siege,lat,long,descrip,srcP
11,Battle of Stalingrad,1942-1943,USSR,,1798619,1,48.708050,44.51330211,"The Battle of Stalingrad was the largest confrontation of World War II, in which Germany and its allies fought the Soviet Union for control of the city of Stalingrad (now Volgograd) in Southern Russia. Marked by fierce close quarters combat and direct assaults on civilians in air raids, it was the largest (nearly 2.2 million personnel) and bloodiest (1.8–2 million killed, wounded or captured) battle in the history of warfare. After their defeat at Stalingrad, the German High Command had to withdraw vast military forces from the Western Front to replace their losses.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/%D0%A4%D0%BE%D0%BD%D1%82%D0%B0%D0%BD_%C2%AB%D0%94%D0%B5%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D1%85%D0%BE%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%C2%BB.jpg/800px-%D0%A4%D0%BE%D0%BD%D1%82%D0%B0%D0%BD_%C2%AB%D0%94%D0%B5%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D1%85%D0%BE%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%C2%BB.jpg
12,Battle of South Shanxi,1941,China,,120000,1,37.242565,111.856857,"The Battle of South Shanxi , also known as the Battle of Jinnan, was one of the 22 major engagements between the National Revolutionary Army and the Imperial Japanese Army during the Second Sino-Japanese War (1937–1945). At the onset of the battle, KMT-CPC relations were at a low point following the still recent New Fourth Army incident in early 1941. As a result, the nearby 8th Route Army refused to commit more than a token force to assist the surrounded Nationalists. South Shanxi would later be remembered in China as one of the worst defeats of the entire war.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Battle_of_South_Shanxi_map.jpg/800px-Battle_of_South_Shanxi_map.jpg
13,Siege of Odessa,1941,USSR,,133.813,1,46.482525,30.723309,"The Siege of Odessa, known to the Soviets as the Defence of Odessa, lasted from 8 August until 16 October 1941, during the early phase of Operation Barbarossa, the Axis invasion of the Soviet Union during World War II.",https://upload.wikimedia.org/wikipedia/commons/7/70/Romanian_troops_in_odessa_WWII.jpg
14,Battle of Kiev,1941,USSR,,700544,1,50.450100,30.523399,"The First Battle of Kiev was the German name for the operation that resulted in a very large encirclement of Soviet troops in the vicinity of Kiev during World War II. This encirclement is considered the largest encirclement in the history of warfare (by number of troops). The operation ran from 7 August to 26 September 1941 as part of Operation Barbarossa, the Axis invasion of the Soviet Union. In Soviet military history, it is referred to as the Kiev Strategic Defensive Operation, with somewhat different dating of 7 July – 26 September 1941.",https://upload.wikimedia.org/wikipedia/commons/8/87/Bundesarchiv_Bild_183-B12190%2C_Kiew%2C_Brand_in_der_Hauptstra%C3%9Fe.jpg
15,Siege of Sevastpol,1941-1942,USSR,,236473,1,44.550650,33.538950,"The Siege of Sevastopol also known as the Defence of Sevastopol or the Battle of Sevastopol was a military battle that took place on the Eastern Front of the Second World War. The campaign was fought by the Axis powers of Germany, Romania, and Italy against the Soviet Union for control of Sevastopol, a port in the Crimea on the Black Sea. ",https://upload.wikimedia.org/wikipedia/commons/2/25/Bundesarchiv_N_1603_Bild-121%2C_Russland%2C_Sewastopol%2C_zerst%C3%B6rter_Hafen.jpg
16,Siege of Leningrad,1941-1944,USSR,,4500000,1,59.934280,30.335098,"The Siege of Leningrad was a prolonged military blockade undertaken from the south by the Army Group North of Nazi Germany against the Soviet city of Leningrad (now Saint Petersburg) on the Eastern Front in World War II. The Finnish army invaded from the north, co-operating with the Germans until they had recaptured territory lost in the recent Winter War, but refused to make further approaches to the city. The siege started on 8 September 1941, when the last road to the city was severed. Although the Soviet forces managed to open a narrow land corridor to the city on 18 January 1943, the siege was not lifted until 27 January 1944, 872 days after it began. It was one of the longest and most destructive sieges in history, and possibly the costliest in casualties suffered.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Anti_aircraft_Leningrad_1941.JPG/800px-Anti_aircraft_Leningrad_1941.JPG
17,Battle of Dunkirk,1940,France,,88000,1,51.034389,2.376800,"The Battle of Dunkirk was fought in Dunkirk, France, during the Second World War, between the Allies and Nazi Germany. As the Allies were losing the Battle of France on the Western Front, the Battle of Dunkirk was the defence and evacuation to Britain of British and other Allied forces in Europe from 26 May to 4 June 1940.",https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Dunkirksoldier1.JPG/800px-Dunkirksoldier1.JPG
18,Battle of Luzon,1945,Philippines,,345000,0,16.566233,121.262634,"The Battle of Luzon, fought 9 January – 15 August 1945, was a land battle of the Pacific Theater of Operations of World War II by the Allied forces of the U.S., its colony the Philippines, and allies against forces of the Empire of Japan. The battle resulted in a U.S. and Filipino victory.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Baleta_Pass%2C_near_Baugio%2C_Luzon.jpg/800px-Baleta_Pass%2C_near_Baugio%2C_Luzon.jpg
19,Battle of the Rhineland,1945,France,West,82000,0,51.985104,5.898730,"The pincer movement of the Canadian First Army, advancing from the Nijmegen area in Operation Veritable, and the U.S. Ninth Army, crossing the Roer in Operation Grenade, was planned to start on 8 February 1945, but it was delayed by two weeks when the Germans flooded the Roer valley by destroying the floodgates of two dams on the upper Roer (Rur Dam and Urft Dam). During the two weeks that the little river was flooded, Hitler did not allow Rundstedt to withdraw German forces behind the Rhine, arguing that it would only delay the inevitable fight. Hitler ordered him to fight where his forces stood. By the time the water had subsided and the U.S. Ninth Army was able to cross the Roer on 23 February, other Allied forces were also close to the Rhine's west bank. The German divisions that had remained on the west bank of the Rhine were cut to pieces, and 280,000 men were taken prisoner. The stubborn German resistance had been costly; their total losses reached an estimated 400,000 men.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Americans_cross_Siegfried_Line.jpg/800px-Americans_cross_Siegfried_Line.jpg
20,Battle of Iwo Jima,1945,Japan,Asia,48000,0,13.562130,144.918762,"The Battle of Iwo Jima (19 February – 26 March 1945) was a major battle in which the United States Marine Corps landed on and eventually captured the island of Iwo Jima from the Imperial Japanese Army during World War II. The American invasion, designated Operation Detachment, had the goal of capturing the entire island, including the three Japanese-controlled airfields (including the South Field and the Central Field), to provide a staging area for attacks on the Japanese main islands. This five-week battle comprised some of the fiercest and bloodiest fighting of the Pacific War of World War II.",https://upload.wikimedia.org/wikipedia/commons/9/9f/37mm_Gun_fires_against_cave_positions_at_Iwo_Jima.jpg
21,Battle of West Hunan,1945,China,Asia,50000,0,27.440950,109.678047,"The Battle of West Hunan was the Japanese invasion of west Hunan and the subsequent Allied counterattack that occurred between 6 April and 7 June 1945, during the last months of the Second Sino-Japanese War. This was the last major Japanese offensive, and the last of 22 major battles during the war to involve more than 100,000 troops. Concurrently, the Chinese managed to repel a Japanese offensive in Henan and Hubei and launched a successful attack on Japanese forces in Guangxi, turning the course of the war sharply in China's favor even as they prepared to launch a full-scale counterattack across South China.",https://upload.wikimedia.org/wikipedia/commons/f/fb/ChineseSoldiersSalweenRiver.gif
22,Battle of Hurtgen Forest,1944-1945,Germany,West,63000,0,50.710940,6.378790,"The Battle of Hürtgen Forest (German: Schlacht im Hürtgenwald) was a series of fierce battles fought from 19 September to 16 December 1944 between American and German forces on the Western Front during World War II in the Hürtgen Forest, a 140 km2 (54 sq mi) area about 5 km (3.1 mi) east of the Belgian–German border.[1] It was the longest battle on German ground during World War II, and is the longest single battle the U.S. Army has ever fought.",https://upload.wikimedia.org/wikipedia/commons/1/1a/HurtgenForest.jpg
23,Battle of Monte Cassino,1944,Italy,West,185000,0,41.5134069,14.262484,"The Battle of Monte Cassino was a costly series of four assaults by the Allies against the Winter Line in Italy held by Axis forces during the Italian Campaign of World War II. The intention was a breakthrough to Rome. The German defenders were driven from their positions, but at a high cost. The capture of Monte Cassino resulted in 55,000 Allied casualties, with German losses being far fewer, estimated at around 20,000 killed and wounded.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Cassino008.jpg/800px-Cassino008.jpg
24,Battle of Narva,1944,Estonia,East,550000,0,59.3794142,28.1993892,"The Battle of Narva[nb 1] was a military campaign between the German Army Detachment "Narwa" and the Soviet Leningrad Front fought for possession of the strategically important Narva Isthmus on 2 February – 10 August 1944 during World War II.",https://upload.wikimedia.org/wikipedia/commons/6/64/Narva_1944.jpg
25,Battle of Anzio,1944,Italy,West,52200,0,41.4481261,12.6286879,"The Battle of Anzio[3] was a battle of the Italian Campaign of World War II that took place from January 22, 1944 (beginning with the Allied amphibious landing known as Operation Shingle) to June 5, 1944 (ending with the capture of Rome). The operation was opposed by German forces in the area of Anzio and Nettuno. The operation was initially commanded by Major General John P. Lucas, of the U.S. Army, commanding U.S. VI Corps with the intention being to outflank German forces at the Winter Line and enable an attack on Rome.",https://upload.wikimedia.org/wikipedia/commons/4/41/Landing_at_Anzio.jpg
26,Jassy-Kishinev Offensive,1944,Romania,East,700000,0,47.161494,27.5840504,"The First Jassy–Kishinev Offensive was a coordinated invasion of Romania conducted by Red Army's 2nd and 3rd Ukrainian Fronts, in accordance with Joseph Stalin's strategy of projecting Soviet military power and political influence into the Balkans.",https://upload.wikimedia.org/wikipedia/commons/c/c3/Bundesarchiv_Bild_183-J24359%2C_Rum%C3%A4nien%2C_Kolonne_von_Panzer_V_%28Panther%29.2.jpg
27,Ichi-Go,1944,China,Asia,1300000,0,34.0000001,113.9999999,"Operation Ichi-Go was a campaign of a series of major battles between the Imperial Japanese Army forces and the National Revolutionary Army of the Republic of China, fought from April to December 1944. It consisted of three separate battles in the Chinese provinces of Henan, Hunan and Guangxi",https://upload.wikimedia.org/wikipedia/commons/3/3a/Japanese_mechanized_forces_marching_towards_Lo-yang.jpg
28,Pearl Harbor,1941,Hawaii,Asia,2500,0,45.1065075,-85.3488701,"The Attack on Pearl Harbor was a surprise military strike by the Imperial Japanese Navy Air Service upon the United States (a neutral country at the time) against the naval base at Pearl Harbor in Honolulu, Hawaii on Sunday morning, December 7, 1941. The attack led to the United States' formal entry into World War II the next day. Japan intended the attack as a preventive action to keep the United States Pacific Fleet from interfering with its planned military actions in Southeast Asia against overseas territories of the United Kingdom, the Netherlands, and the United States. Over the course of seven hours there were coordinated Japanese attacks on the U.S.-held Philippines, Guam and Wake Island and on the British Empire in Malaya, Singapore, and Hong Kong. Additionally, from the Japanese viewpoint, it was seen as a preemptive strike.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Attack_on_Pearl_Harbor_Japanese_planes_view.jpg/800px-Attack_on_Pearl_Harbor_Japanese_planes_view.jpg
29,Battle of Saipan,1944,Mariana Island,Asia,43500,0,15.1909828,145.7468535,"The Battle of Saipan was a battle of the Pacific campaign of World War II, fought on the island of Saipan in the Mariana Islands from 15 June to 9 July 1944. The Allied invasion fleet embarking the expeditionary forces left Pearl Harbor on 5 June 1944, the day before Operation Overlord in Europe was launched. The U.S. 2nd Marine Division, 4th Marine Division, and the Army's 27th Infantry Division, commanded by Lieutenant General Holland Smith, defeated the 43rd Infantry Division of the Imperial Japanese Army, commanded by Lieutenant General Yoshitsugu Saito. The loss of Saipan, with the death of at least 29,000 troops and heavy civilian casualties, precipitated the resignation of Japanese Prime Minister Hideki Tojo and left the Japanese mainland within the range of United States Army Air Forces B-29 bombers.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/LVTs_move_toward_Saipan%2C_past_bombarding_cruisers%2C_on_15_June_1944_%2880-G-231838%29.jpg/800px-LVTs_move_toward_Saipan%2C_past_bombarding_cruisers%2C_on_15_June_1944_%2880-G-231838%29.jpg
30,Falaise pocket,1944,France,West,140000,0,48.8964741,-0.1999129,"The Falaise Pocket or Battle of the Falaise Pocket was the decisive engagement of the Battle of Normandy in the Second World War. A pocket was formed around Falaise, Calvados, in which the German Army Group B, with the 7th Army and the Fifth Panzer Army (formerly Panzergruppe West) were encircled by the Western Allies. The battle resulted in the destruction of most of Army Group B west of the Seine, which opened the way to Paris and the Franco-German border for the Allied armies on the Western Front.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/St.-Lambert-surrender.jpg/800px-St.-Lambert-surrender.jpg
31,Battle of Leyte Gulf,1944,Philippines,Asia,12000,0,10.904087,124.6954535,"The Battle of Leyte Gulf (Filipino: Labanan sa Look ng Leyte) is considered to have been the largest naval battle of World War II and, by some criteria, possibly the largest naval battle in history, with over 200,000 naval personnel involved. It was fought in waters near the Philippine islands of Leyte, Samar, and Luzon, from 23–26 October 1944, between combined American and Australian forces and the Imperial Japanese Navy (IJN), as part of the invasion of Leyte, which aimed to isolate Japan from the countries it had occupied in Southeast Asia which were a vital source of industrial and oil supplies.",https://upload.wikimedia.org/wikipedia/commons/f/ff/USS_Princeton_%28CVL-23%29_burning_on_24_October_1944_%2880-G-287970%29.jpg
32,Battle of Kursk,1943,USSR,East,300000,0,51.739433,36.179604,"The Battle of Kursk was a Second World War engagement between German and Soviet forces on the Eastern Front near Kursk (450 kilometres or 280 miles south-west of Moscow) in the Soviet Union, during July and August 1943. The battle began with the launch of the German offensive, Operation Citadel, on 5 July, which had the objective of pinching off the Kursk salient with attacks on the base of the salient from north and south simultaneously. After the German offensive stalled on the northern side of the salient, on 12 July the Soviets commenced their Kursk Strategic Offensive Operation with the launch of Operation Kutuzov against the rear of the German forces in the northern side. On the southern side, the Soviets also launched powerful counterattacks the same day, one of which led to a large armoured clash, the Battle of Prokhorovka. On 3 August, the Soviets began the second phase of the Kursk Strategic Offensive Operation with the launch of Operation Polkovodets Rumyantsev against the German forces in the southern side of the Kursk salient.
The battle was the final strategic offensive that the Germans were able to launch on the Eastern Front. ",https://upload.wikimedia.org/wikipedia/commons/a/a0/Bundesarchiv_Bild_101III-Zschaeckel-206-35%2C_Schlacht_um_Kursk%2C_Panzer_VI_%28Tiger_I%29.jpg
33,Invasion of Sicily,1943,Italy,West,36000,0,37.1016361,13.9376147,"The Allied invasion of Sicily, codenamed Operation Husky, was a major campaign of World War II, in which the Allies took the island of Sicily from the Axis powers (the Kingdom of Italy and Nazi Germany). It began with a large amphibious and airborne operation, followed by a six-week land campaign, and initiated the Italian Campaign. Husky began on the night of 9–10 July 1943, and ended on 17 August. Strategically, Husky achieved the goals set out for it by Allied planners; the Allies drove Axis air, land and naval forces from the island and the Mediterranean sea lanes were opened for Allied merchant ships for the first time since 1941. The Italian leader, Benito Mussolini, was toppled from power in Italy and the way was opened for the Allied invasion of Italy. The German leader, Adolf Hitler, canceled a major offensive at Kursk after only a week, in part to divert forces to Italy, resulting in a reduction of German strength on the Eastern Front.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Troops_from_51st_Highland_Division_unloading_stores_from_tank_landing_craft_on_the_opening_day_of_the_Allied_invasion_of_Sicily%2C_10_July_1943._A17916.jpg/800px-Troops_from_51st_Highland_Division_unloading_stores_from_tank_landing_craft_on_the_opening_day_of_the_Allied_invasion_of_Sicily%2C_10_July_1943._A17916.jpg
34,Battle of Smolensk,1943,USSR,East,522059,0,54.77897,32.0471812,"The second Battle of Smolensk (7 August–2 October 1943) was a Soviet strategic offensive operation conducted by the Red Army as part of the Summer-Autumn Campaign of 1943. Staged almost simultaneously with the Lower Dnieper Offensive (13 August–22 September), the offensive lasted two months and was led by General Andrei Yeremenko, commanding the Kalinin Front, and Vasily Sokolovsky, commanding the Western Front. Its goal was to clear the German presence from the Smolensk and Bryansk regions. Smolensk had been under German occupation since the first Battle of Smolensk in 1941.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/RIAN_archive_76_On_the_battlefield.jpg/800px-RIAN_archive_76_On_the_battlefield.jpg
35,Battle of the Kerch Peninsula,1942,USSR,East,176000,0,45.3534002,36.4538645,"The Battle of the Kerch Peninsula, which commenced with the Soviet Kerch-Feodosia landing operation and ended with the German Operation Bustard Hunt, was a World War II battle between Erich von Manstein's German and Romanian 11th Army and the Soviet Crimean Front forces in the Kerch Peninsula, in the eastern part of the Crimean Peninsula. It began on 26 December 1941 with an amphibious landing operation by two Soviet armies intended to break the Siege of Sevastopol. Axis forces first contained the Soviet beachhead throughout the winter and interdicted its naval supply lines through aerial bombing. From January through April, the Crimean Front launched repeated offensives against the 11th Army, all of which failed with heavy losses. The Red Army lost 352,000 men in the attacks, while the Axis suffered 24,120 casualties. Superior German artillery firepower was largely responsible for the Soviet debacle.",https://upload.wikimedia.org/wikipedia/commons/1/17/Bundesarchiv_B_145_Bild-F016223-0024%2C_Russland%2C_Krim%2C_Panzer_IV_im_Einsatz.jpg
36,Battle of Kharkov,1942,USSR,East,300000,0,49.9914255,36.2722661,"The Second Battle of Kharkov or Operation Fredericus was an Axis counter-offensive in the region around Kharkov (now Kharkiv) against the Red Army Izium bridgehead offensive conducted 12–28 May 1942, on the Eastern Front during World War II. Its objective was to eliminate the Izium bridgehead over Seversky Donets or the "Barvenkovo bulge" which was one of the Soviet offensive's staging areas. After a winter counter-offensive that drove German troops away from Moscow but depleted the Red Army's reserves, the Kharkov offensive was a new Soviet attempt to expand upon their strategic initiative, although it failed to secure a significant element of surprise.",https://upload.wikimedia.org/wikipedia/commons/3/3d/Bundesarchiv_Bild_101I-274-0498-15%2C_Russland%2C_Soldat_mit_MG_34.jpg
37,Battle of Gazala,1942,Libya,Africa,148000,0,32.1442901,23.357054,"The Battle of Gazala  was fought during the Western Desert Campaign of the Second World War, west of the port of Tobruk in Libya, from 26 May to 21 June 1942. Axis troops of the Panzerarmee Afrika consisted of German and Italian units. Allied forces were mainly British, Indian, South African and Free French.",https://upload.wikimedia.org/wikipedia/commons/0/0c/Bundesarchiv_Bild_101I-784-0246-22A%2C_Nordafrika%2C_Rommel_im_Befehlsfahrzeug_%22Greif%22.jpg
38,Battle of El Alamein,1942,Egypt,Africa,80000,0,30.833944,28.949268,"The Second Battle of El Alamein (23 October – 11 November 1942) was a battle of the Second World War that took place near the Egyptian railway halt of El Alamein. The First Battle of El Alamein and the Battle of Alam el Halfa had prevented the Axis from advancing further into Egypt. In August 1942, General Claude Auchinleck had been sacked as Commander-in-Chief Middle East Command and his successor, Lieutenant-General William Gott was killed on his way to replace him as commander of the Eighth Army. Lieutenant-General Bernard Montgomery was appointed and led the Eighth Army offensive. The Allied victory was the beginning of the end of the Western Desert Campaign, eliminating the Axis threat to Egypt, the Suez Canal and the Middle Eastern and Persian oil fields. The battle revived the morale of the Allies, being the first big success against the Axis since Operation Crusader in late 1941. The battle coincided with the Allied invasion of French North Africa in Operation Torch on 8 November, the Battle of Stalingrad and the Guadalcanal Campaign.",https://upload.wikimedia.org/wikipedia/commons/0/03/Bundesarchiv_Bild_101I-443-1589-07%2C_Nordafrika%2C_Rommel_in_Befehlsfahrzeug.jpg
39,Battle of Keren,1941,Eritrea,Africa,20000,0,15.780477,38.453606,"The battle of Keren was fought as part of the East African Campaign during the Second World War. The engagement took place from 5 February to 1 April 1941, between a mixed Italian army of regular and colonial troops and British (mostly Sudanese and Indian troops under the British flag) and Free French forces. The town of Keren, in the colony of Italian Eritrea, was of strategic importance to both sides in 1941. The road and railway through Keren were the main routes to the colonial capital at Asmara and the Red Sea port of Massawa, which surrendered to the British after the battle.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Keren_Battlefield_023.jpg/800px-Keren_Battlefield_023.jpg
40,Battle of Greece,1940-1941,Greece,West,150000,0,37.9841493,23.7279843,"The Battle of Greece (also known as Operation Marita) is the common name for the invasion of Allied Greece by Fascist Italy and Nazi Germany in April 1941 during World War II. The Italian invasion in October 1940, which is usually known as the Greco-Italian War, was followed by the German invasion in April 1941. German landings on the island of Crete (May 1941) came after Allied forces had been defeated in mainland Greece. These battles were part of the greater Balkan Campaign of Germany. Following the Italian invasion on 28 October 1940, Greece repulsed the initial Italian attack and a counter-attack in March 1941. Hitler later blamed the failure of his invasion of the Soviet Union, which had to be delayed, on Mussolini's failed conquest of Greece.[16] The theory that the Battle of Greece delayed the invasion of the Soviet Union has been either refuted or downplayed by the majority of historians, who have accused Hitler of trying to deflect blame from himself to his ally, Italy.",https://upload.wikimedia.org/wikipedia/commons/8/8d/Bundesarchiv_Bild_101I-163-0319-03A%2C_Griechenland%2C_deutsche_Infanterie_auf_dem_Marsch.jpg
41,Battle of Moscow,1941,USSR,East,1000000,0,55.7504461,37.6174943,"The Battle of Moscow was a military campaign that consisted of two periods of strategically significant fighting on a 600 km (370 mi) sector of the Eastern Front during World War II. It took place between October 1941 and January 1942. The Soviet defensive effort frustrated Hitler's attack on Moscow, the capital and largest city of the Soviet Union. Moscow was one of the primary military and political objectives for Axis forces in their invasion of the Soviet Union.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/RIAN_archive_887721_Defense_of_Moscow.jpg/800px-RIAN_archive_887721_Defense_of_Moscow.jpg
42,Battle of Hong Kong,1941,China,Asia,18000,0,22.2793278,114.1628131,"The Battle of Hong Kong (8–25 December 1941), also known as the Defence of Hong Kong and the Fall of Hong Kong, was one of the first battles of the Pacific War in World War II. On the same morning as the attack on Pearl Harbor, forces of the Empire of Japan attacked the British Crown colony of Hong Kong. The attack was in violation of international law as Japan had not declared war against the British Empire. The Hong Kong garrison consisted of British, Indian and Canadian units besides Chinese soldiers and conscripts from both within and outside Hong Kong.",https://upload.wikimedia.org/wikipedia/commons/c/c9/Mount_Davis_Battery_F2.jpg
43,Battle of Crete,1941,Greece,West,16700,0,35.2788061,24.9342885,"The Battle of Crete was fought during the Second World War on the Greek island of Crete. It began on the morning of 20 May 1941, when Nazi Germany began an airborne invasion of Crete. Greek and other Allied forces, along with Cretan civilians, defended the island. After one day of fighting, the Germans had suffered heavy casualties and the Allied troops were confident that they would defeat the invasion. The next day, through communication failures, Allied tactical hesitation and German offensive operations, Maleme Airfield in western Crete fell, enabling the Germans to land reinforcements and overwhelm the defensive positions on the north of the island. Allied forces withdrew to the south coast. More than half were evacuated by the British Royal Navy and the remainder surrendered or joined the Cretan resistance. ",https://upload.wikimedia.org/wikipedia/commons/4/4e/Bundesarchiv_Bild_141-0864%2C_Kreta%2C_Landung_von_Fallschirmj%C3%A4gern.jpg
44,Operation Weserubung,1940,Denmark,West,12800,0,55.6867243,12.5700724,"Operation Weserübung was the code name for Germany's assault on Denmark and Norway during the Second World War and the opening operation of the Norwegian Campaign. The name comes from the German for "Operation Weser-Exercise", the Weser being a German river.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Danish_soldiers_on_9_April_1940.jpg/800px-Danish_soldiers_on_9_April_1940.jpg
45,Battle of France,1940,France,West,469000,0,48.8566969,2.3514616,"The Battle of France, also known as the Fall of France, was the German invasion of France and the Low Countries during the Second World War. France had previously invaded Germany in 1939. In the six weeks from 10 May 1940, German forces defeated Allied forces by mobile operations and conquered France, Belgium, Luxembourg and the Netherlands, bringing land operations on the Western Front to an end until the Normandy landings on 6 June 1944. Italy entered the war on 10 June 1940 and invaded France over the Alps. In Fall Gelb, German armoured units made a surprise push through the Ardennes, and then along the Somme valley, cutting off and surrounding the Allied units that had advanced into Belgium to meet the expected German invasion. When British, Belgian and French forces were pushed back to the sea by the mobile and well-organised German operation, the British evacuated the British Expeditionary Force (BEF) and French divisions from Dunkirk in Operation Dynamo.",https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Adolf_Hitler_in_Paris_1940.jpg/800px-Adolf_Hitler_in_Paris_1940.jpg
46,Winter War,1939-1940,Finland,East,170000,0,60.1674098,24.9425769,"The Winter War was a military conflict between the Soviet Union (USSR) and Finland. It began with a Soviet invasion of Finland on 30 November 1939, three months after the outbreak of World War II, and ended three and a half months later with the Moscow Peace Treaty on 13 March 1940. The League of Nations deemed the attack illegal and expelled the Soviet Union from the organisation.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/A_Finnish_Maxim_M-09-21_machine_gun_nest_during_the_Winter_War.jpg/800px-A_Finnish_Maxim_M-09-21_machine_gun_nest_during_the_Winter_War.jpg
